date,timezone,username,tweet,link,nlikes,nretweets,nreplies,hashtags,datetime_,date_dt,time_dt
2022-01-09 19:54:50,+0800,SPrm_AS,真昼の月…いやあ…うますぎる。。。,https://twitter.com/SPrm_AS/status/1480146039772696578,1,0,0,[],2022-01-09 19:54:50,2022-01-09,19:54:50
2022-01-09 19:54:22,+0800,SangkulRimbas,"@fmtoday Memang dah teliti tu, tapi muhyidin guna taktik Atok, dahulu atok cari org yg ada kelemahan utk jadi pegawai tinggi krjn spt polis dan SPRM supaya mudah beliau arah spt lembu dicucuk hidung.",https://twitter.com/SangkulRimbas/status/1480145922034384912,0,0,0,[],2022-01-09 19:54:22,2022-01-09,19:54:22
2022-01-09 19:53:29,+0800,MalaysiaGazette,"Empat Inisiatif Bantuan Banjir Dibayar Esok, Kepimpinan SPRM Perlu Dirombak #MGFlash  https://t.co/OlVHa3WPXL",https://twitter.com/MalaysiaGazette/status/1480145702160379908,1,0,1,['mgflash'],2022-01-09 19:53:29,2022-01-09,19:53:29
2022-01-09 19:50:33,+0800,san220478,@kuasasiswa @SPRMMalaysia Sejak bila SPRM ada kredibiliti…,https://twitter.com/san220478/status/1480144964591882242,3,0,0,[],2022-01-09 19:50:33,2022-01-09,19:50:33
2022-01-09 19:50:12,+0800,nizam16894,i suka klu org layan i elok dapatlah imbuhan nya opss terikut perangai ketua pengarah sprm pulak😅😅. maaf la ye . takpe kut,https://twitter.com/nizam16894/status/1480144875559346176,0,0,0,[],2022-01-09 19:50:12,2022-01-09,19:50:12
2022-01-09 19:49:06,+0800,explosiveernie,@KyaryHime The whole SPRM mesti kena CTRL-ALT- DELETE…. Cam ni patut la mereka yg ada kes2 rasuah steady je..,https://twitter.com/explosiveernie/status/1480144599200923650,1,0,1,[],2022-01-09 19:49:06,2022-01-09,19:49:06
2022-01-09 19:48:50,+0800,Hydenl9l,@fahmi_fadzil geli hati baca bebal dan jumudnya statement mcm x skola assistances baki. bergaji puluh ribu sbulan tp kepala otak komen ibarat level penjilat macai politik. dia buat sprm mcm parti politik pulak. walupun nk bekap boss tetap nmpk pekung sndiri terburai. memalukan je. jijik,https://twitter.com/Hydenl9l/status/1480144529827065856,0,0,0,[],2022-01-09 19:48:50,2022-01-09,19:48:50
2022-01-09 19:46:40,+0800,Lugzan11,"@1rmf5 @mfjfazley Ait ? Tadi kata DIY...bila aku tempek berita sahih, kata spin pulak.  Memang patut hakim kata Najib dan SPRM cerita dongeng...sebab tadak sekor arab pun muncul bawa moneytrail kata mereka derma 2.6b.  Yang kata mereka tak derma, ada la :   https://t.co/XZxOuYyWDF",https://twitter.com/Lugzan11/status/1480143986593452033,0,0,2,[],2022-01-09 19:46:40,2022-01-09,19:46:40
2022-01-09 19:46:32,+0800,MeeziNeesa,Kroni dia je bersatu hati..tak dapat derr warga SPRM bersatu hati utk sokong kau. Lain la bagi kenaikan pangkat utk semua tahun ni sekaligus 🤪,https://twitter.com/MeeziNeesa/status/1480143951101186049,0,0,1,[],2022-01-09 19:46:32,2022-01-09,19:46:32
2022-01-09 19:46:22,+0800,juneindecember_,@jiazzhy i heard his sprm is for mass donation saur,https://twitter.com/juneindecember_/status/1480143909259182083,0,0,0,[],2022-01-09 19:46:22,2022-01-09,19:46:22
